GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Social Media App,com.socialmedia,SocialMediaApp,5,3,0,0,2,1,1,1,1,1
Social Media App,com.socialmedia.model,Post,7,210,5,9,0,23,4,29,0,26
Social Media App,com.socialmedia.model,Like,30,181,20,18,0,10,16,18,0,15
Social Media App,com.socialmedia.model,Notification,34,218,22,20,0,10,18,20,0,17
Social Media App,com.socialmedia.model,Media,37,219,25,21,0,11,20,20,0,17
Social Media App,com.socialmedia.model,User,63,412,45,33,0,16,36,27,0,24
Social Media App,com.socialmedia.model,Comment,46,261,30,24,0,16,24,23,0,20
Social Media App,com.socialmedia.event,EventPublisher,0,11,0,0,0,5,0,2,0,2
Social Media App,com.socialmedia.event,NotificationEvent,0,16,0,0,0,4,0,4,0,4
Social Media App,com.socialmedia.dto,UserDTO,15,195,9,29,0,7,9,24,0,14
Social Media App,com.socialmedia.dto,NotificationDTO,12,198,7,31,0,7,7,26,0,14
Social Media App,com.socialmedia.dto,CommentDTO,14,196,8,30,0,7,8,25,0,14
Social Media App,com.socialmedia.dto,PostDTO,23,187,13,25,0,7,13,20,0,14
Social Media App,com.socialmedia.dto,LikeDTO,11,156,6,24,0,6,6,21,0,12
Social Media App,com.socialmedia.dto,AuthDTO,8,116,4,18,0,5,4,17,0,10
Social Media App,com.socialmedia.dto,MediaDTO,14,196,8,30,0,7,8,25,0,14
Social Media App,com.socialmedia.controller,CommentController,0,46,0,0,0,9,0,5,0,5
Social Media App,com.socialmedia.controller,LikeController,0,34,0,0,0,7,0,4,0,4
Social Media App,com.socialmedia.controller,PostController,0,63,0,0,0,12,0,7,0,7
Social Media App,com.socialmedia.controller,UserController,0,67,0,0,0,13,0,7,0,7
Social Media App,com.socialmedia.controller,NotificationController,0,46,0,0,0,9,0,5,0,5
Social Media App,com.socialmedia.service,NotificationService,11,135,4,2,1,28,3,9,0,9
Social Media App,com.socialmedia.service,LikeService,0,102,0,0,0,20,0,8,0,8
Social Media App,com.socialmedia.service,PostService,0,176,0,0,0,28,0,11,0,11
Social Media App,com.socialmedia.service,CommentService,0,157,0,0,0,32,0,10,0,10
Social Media App,com.socialmedia.service,UserService,0,184,1,5,0,30,1,13,0,11
Social Media App,com.socialmedia.exception,ErrorResponse,18,133,12,12,0,6,10,14,0,12
Social Media App,com.socialmedia.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Social Media App,com.socialmedia.exception,InvalidInputException,0,4,0,0,0,2,0,1,0,1
Social Media App,com.socialmedia.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
Social Media App,com.socialmedia.exception,GlobalExceptionHandler,0,63,0,0,0,21,0,5,0,5
Social Media App,com.socialmedia.config,SwaggerConfig,29,0,0,0,10,0,3,0,3,0
Social Media App,com.socialmedia.config,SecurityConfig,6,106,0,0,1,25,1,4,1,4
Social Media App,com.socialmedia.config,WebSocketConfig,0,44,0,0,0,8,0,3,0,3
Social Media App,com.socialmedia.config,RedisConfig,19,0,0,0,5,0,3,0,3,0
